"","type","category","contrast","id","name","formula","flag","log2FoldChange","padj","label","bar_start","bar_stop","bar_label","bar_y"
"57","all","type","digesta_v_tissue","RP_pos_207_10126a3_031",NA,NA,"good_msms",-1.21570744880131,0.0140981396032028,"RP_pos_207_10126a3_031
not annotated","digesta","tissue","-1.22 *",18.4859130021024
"58","all","type","digesta_v_tissue","RP_pos_207_10167a4_129",NA,NA,"good_msms",-1.20243955895867,0.00554233727322458,"RP_pos_207_10167a4_129
not annotated","digesta","tissue","-1.2 **",15.8729712401266
"59","all","type","digesta_v_tissue","RP_pos_207_10172a4_392",NA,NA,"good_msms",-1.22335294531374,0.0073612955888758,"RP_pos_207_10172a4_392
not annotated","digesta","tissue","-1.22 **",19.2551384937875
"60","all","type","digesta_v_tissue","RP_pos_207_10172a11_414",NA,NA,"good_msms",-2.16434061614925,0.00391819255638345,"RP_pos_207_10172a11_414
not annotated","digesta","tissue","-2.16 **",13.9967274748123
"61","all","type","digesta_v_tissue","RP_pos_207_17467a10_192",NA,NA,"good_msms",-1.08870974164195,0.00467389406933394,"RP_pos_207_17467a10_192
not annotated","digesta","tissue","-1.09 **",18.6822963802791
"62","all","type","digesta_v_tissue","RP_pos_208_061a3_19",NA,NA,"good_msms",-1.10883732737969,0.00450641153935415,"RP_pos_208_061a3_19
not annotated","digesta","tissue","-1.11 **",17.0806252980561
"63","all","type","digesta_v_tissue","RP_pos_209_092a1_673","L-Kynurenine","C10H12N2O3","curated",3.54058624656157,3.47522288007273e-05,"RP_pos_209_092a1_673
L-Kynurenine","digesta","tissue","3.54 ***",19.960684455223
"64","all","type","digesta_v_tissue","RP_pos_209_11749a6_843",NA,NA,"good_msms",-1.09591337675359,0.0279450470356163,"RP_pos_209_11749a6_843
not annotated","digesta","tissue","-1.1 *",17.458596352982
"65","all","type","digesta_v_tissue","RP_pos_209_11751a5_702",NA,NA,"good_msms",-1.46703222806932,0.00431936958743454,"RP_pos_209_11751a5_702
not annotated","digesta","tissue","-1.47 **",17.8353907787325
"66","all","type","digesta_v_tissue","RP_pos_209_15359a4_006",NA,NA,"good_msms",-1.15325187554494,0.0239766904807118,"RP_pos_209_15359a4_006
not annotated","digesta","tissue","-1.15 *",18.7633391740697
"67","all","type","digesta_v_tissue","RP_pos_210_10017a2_038",NA,NA,"good_msms",-1.11621728760245,0.0273376338537506,"RP_pos_210_10017a2_038
not annotated","digesta","tissue","-1.12 *",12.9108586299827
"68","all","type","digesta_v_tissue","RP_pos_210_11223a4_873",NA,NA,"good_msms",-1.45224169728413,0.0409406801722115,"RP_pos_210_11223a4_873
not annotated","digesta","tissue","-1.45 *",17.5806265454362
"69","all","type","digesta_v_tissue","RP_pos_210_11224a7_017",NA,NA,"good_msms",-4.16128375998529,0.00898322056870757,"RP_pos_210_11224a7_017
not annotated","digesta","tissue","-4.16 **",19.9064030377217
"70","all","type","digesta_v_tissue","RP_pos_210_11253a6_515",NA,NA,"good_msms",-4.02734926329357,0.0123316234060403,"RP_pos_210_11253a6_515
not annotated","digesta","tissue","-4.03 *",21.2746176237116
"71","all","type","digesta_v_tissue","RP_pos_211_13277a4_903",NA,NA,"good_msms",-1.00560381870068,0.0154095438213598,"RP_pos_211_13277a4_903
not annotated","digesta","tissue","-1.01 *",19.1038179942093
"72","all","type","digesta_v_tissue","RP_pos_211_13298a4_133",NA,NA,"good_msms",-1.48108914344001,0.000908670093489254,"RP_pos_211_13298a4_133
not annotated","digesta","tissue","-1.48 ***",19.1220385969224
"73","all","type","digesta_v_tissue","RP_pos_216_063a3_587",NA,NA,"good_msms",5.93887835367468,0.00899632003752203,"RP_pos_216_063a3_587
not annotated","digesta","tissue","5.94 **",18.3481315593677
"74","all","type","digesta_v_tissue","RP_pos_217_11813a1_868",NA,NA,"good_msms",2.12690442137171,0.00230664620254946,"RP_pos_217_11813a1_868
not annotated","digesta","tissue","2.13 **",18.4773212684171
"75","all","type","digesta_v_tissue","RP_pos_217_19525a9_913",NA,NA,"good_msms",-1.15567344413809,0.0387705954643902,"RP_pos_217_19525a9_913
not annotated","digesta","tissue","-1.16 *",19.8249468806234
"76","all","type","digesta_v_tissue","RP_pos_218_12099a6_366",NA,NA,"good_msms",7.34736805972388,1.42474465103934e-05,"RP_pos_218_12099a6_366
not annotated","digesta","tissue","7.35 ***",18.2475741070036
