,X1_hostT
TSTD3,0.14410681680830054
CCNC,0.10520148607933269
PRDM13,-2.748831739664758e-32
SIM1,-0.11861071654222387
ASCC3,-0.157640850397088
LOC110260404,-0.04775822046797854
GRIK2,0.05074478322087386
LOC110260405,-2.748831739664758e-32
HACE1,0.04136755544806832
BVES,-0.21995773412531014
LOC106508909,-0.04775822046797854
POPDC3,0.02938756482151031
PREP,-0.026843011381017447
LOC110260407,-2.748831739664758e-32
LOC110260408,0.12214468935408948
PRDM1,0.03574207496639105
ATG5,-0.17207533075233045
LOC110259431,-0.15862323768779768
CRYBG1,0.19040660166715961
RTN4IP1,-0.17561464994210974
QRSL1,0.17446562875646132
LOC110260421,-0.008803938504496706
LOC100519934,-0.06859022463100956
LOC100521350,0.2029106237944617
C1H6orf203,-0.15045442980400917
BEND3,0.06660108334624226
PDSS2,-0.1473359599645271
LOC102159561,0.008426856814085476
LOC110260430,-0.12745401182336283
SOBP,-0.02975406946249741
LOC102159995,0.09718146462962547
SCML4,-0.24970266106320316
SEC63,-0.05580006134928843
OSTM1,-0.043065643589085906
NR2E1,-0.07465101138244888
SNX3,-0.24802877472762336
AFG1L,-0.004993946189781301
FOXO3,0.18915436423290732
LOC106508914,0.068791329079267
LOC106508915,0.08193231254205185
ARMC2,-0.08486563408175228
LOC110260564,0.04369658202861573
SESN1,0.10297559301363449
LOC106508918,0.04722816583411692
CEP57L1,-0.0033728102024165735
C1H6orf183,-0.05278160869041571
LOC110260563,-0.1140193468774058
CD164,-0.023555253679738514
LOC102164525,-0.11936681620120419
PPIL6,-0.13857490427433325
SMPD2,0.15523659107901808
MICAL1,0.09664047585266333
ZBTB24,0.11120288245132498
AK9,-0.12745401182336283
FIG4,-0.11890324354282213
LOC102157516,0.19762046927137628
WASF1,-0.1921310549616676
CDC40,-0.21658954599734476
METTL24,-0.10473069242071378
DDO,-0.02702228076834809
SLC22A16,0.004310454736581093
CDK19,0.072042378118927
AMD1,-0.21471336270161087
GTF3C6,0.0655820118213751
RPF2,-0.09644058933031233
SLC16A10,-0.1496503989308399
LOC110260579,-0.18375312210668565
MFSD4B,-0.061519728995973334
REV3L,-0.23542434078945593
LOC102167874,0.13414647731583462
LOC110260596,0.02431700706367658
LOC106508920,-0.07768754041614565
TRAF3IP2,0.22454620115222465
LOC106508921,-0.033538305656336906
FYN,-0.0856257481075063
LOC106508922,-0.047758220467978535
LOC102158093,0.043696582028615726
WISP3,-0.09940534088780456
LOC106508925,-2.748831739664758e-32
TUBE1,0.029875440142730067
FAM229B,0.004266854698262948
LAMA4,-0.07210719114085531
LOC102159376,-0.04684664914447478
MARCKS,-0.2258161373453395
HDAC2,-0.23343772493500942
HS3ST5,-0.07413264165062822
LOC110259440,-0.061979879410850626
