"","C001I","C001K","C002I","C002K","C004I","C004K","C005K","C006I","C006K","C007I","C007K","C008I","C008K","C009I","C009K"
"RP_pos_463_78006a2_442",7.9188632372746,17.1016884817294,8.00562454919388,18.5409831438905,NA,16.8863038815707,19.1909724373325,9.85642552862553,18.0313835216017,8.7279204545632,18.0644217512816,NA,17.8632364997512,NA,17.8662345222236
"RP_pos_464_08087a1_44",11.9754897569458,18.0176675041181,12.9162526988122,18.8662224459248,9.98584193700334,17.8230499734827,17.8379235371148,9.94251450533924,18.0487156827429,9.89784545600551,17.0551659067303,10.1910592145317,18.1555446125386,10.612868497291,18.028985195795
"RP_pos_464_08185a1_64",14.1191843123971,19.0490987231383,14.064911136699,20.0866791969007,12.3747678140928,18.8625586638363,19.0063644335742,11.6325408765469,19.285449632377,11.0647427647503,18.3433592393462,9.7515440590891,19.3680843746383,12.6622233053178,19.2126483678163
"RP_pos_464_25089a2_464",15.0972503016715,13.5191447879974,13.4465664090661,15.7748385246878,16.4609997481825,14.8554038415692,12.8071536391775,12.7131716843148,11.6479080742818,10.4767462039395,12.9117664706596,13.7114518867148,13.4232472493106,13.4828079567267,11.873828574887
"RP_pos_464_28305a7_87",16.996782402834,19.6345664688133,14.5688467928858,18.0480983481136,17.8071976722072,16.7810394775595,18.0462127783337,15.4261992238243,15.1534332799727,16.8927918137345,18.1866849354442,17.4057231849628,20.831356731669,18.0624941690221,18.249881939509
"RP_pos_464_28378a8_937",16.0446715997083,18.5753361171925,15.6928606518499,20.1809981332171,18.6435250645371,17.6657800283295,17.3751158144868,16.2270141936491,16.0004622153146,16.9253574002642,18.0828039447764,17.4063046723225,20.6049847872971,17.6446731099302,17.7214196570453
"RP_pos_464_31433a10_367",22.1908977083393,24.0434518888172,22.8674921680176,23.9478966660207,20.4935955349978,22.8252577280247,22.8776630812141,20.1321620605164,22.4586421586561,21.6048418535898,24.9736529658763,21.5155424853134,25.0058097271568,20.2787488996188,22.6822010124258
"RP_pos_465_33441a9_449",17.8030589902354,16.8477058061065,17.9092192407075,16.8559026125477,17.4842328719346,17.1387017763447,18.1380417603023,18.0422685581427,17.8013926085397,18.851745991885,18.9841931313696,17.3799959428389,16.7439665726457,18.1972358940981,17.9399751390022
"RP_pos_465_37079a10_847",19.6305017714423,16.4941211777979,19.7265391557348,17.4432916258004,18.940313597146,17.144080635002,17.8846892521814,18.781433357743,16.7160155971308,19.8109387131589,18.9282089519075,20.0083711713745,17.8583756709731,19.5143114602916,17.6425594358355
"RP_pos_466_16055a2_719",17.7084709787007,11.6702136367386,16.3937088610343,11.7021726853655,17.9512904074078,11.9336906549522,11.9355334129507,16.3965044418914,10.8788172846142,16.8482194731548,12.5147140541385,17.8991975850746,12.5010907702745,17.4991763182425,10.3185428097027
"RP_pos_466_29135a6_39",13.9782635690861,12.2152296257479,16.764482881306,15.5635240118679,15.3611898892284,14.270295326472,13.0134971542917,13.7399915146842,11.0848083878044,13.3789721457421,12.4678602407079,13.8769005910403,11.3049216695817,13.7674603139157,14.1787426473904
"RP_pos_466_31693a7_934",15.9554001747266,19.8176270045328,16.7941746862311,22.8638920937401,19.7021574632722,20.9159858432065,17.9644311236679,18.5240710545077,20.3451377401174,17.8269766741805,19.8171444954756,17.0474754239335,21.8285541285391,17.5731737846865,19.3420247375771
"RP_pos_466_33002a10_615",22.7280965540496,21.8971755647268,22.6783946804382,21.7566638170208,22.1529136261698,20.9283275238378,21.2197316087263,20.4629115990521,20.3624265240568,21.6358566994788,23.3918904495251,22.0062260766372,23.1635546317037,20.7190687369444,20.6940509104745
"RP_pos_466_33203a8_97",19.710908985895,17.6917571479521,18.0765442313178,16.6946571479255,16.5508519780615,15.3994448316254,18.2920924184997,18.3808541878602,16.7718634034106,21.8710185875984,21.5538814270557,20.2183078057027,18.5060324620867,19.5348727827739,18.496787475541
"RP_pos_467_27679a12_726",13.0433691139577,19.5952265166799,17.3569591215335,19.401956536961,12.3224915375975,18.6218408293316,18.108437675212,15.225508720236,17.8205654180678,17.2067949851762,22.5520883562228,16.1943336469456,21.2309961171335,12.3188252203997,18.7299028242418
"RP_pos_467_27701a13_217",20.4543223898592,11.2796105810525,21.0273154678536,12.2856911913301,19.98445183765,11.2106713437856,9.97727992349992,19.6391322320711,10.5999128421871,21.4647925079026,15.1478806324111,20.4487132170327,11.4083297407674,20.2037841049012,11.1045987535644
"RP_pos_467_32663a10_301",18.7041231666164,13.6066365435795,17.592909560468,14.3592004851336,18.8988700019991,15.5847570241491,17.1577021963293,19.4805693377664,16.0823777715699,18.1440955760489,15.2633058835678,18.4719847383307,15.0317442727638,19.3885828300414,16.9900152999334
"RP_pos_467_34918a9_632",14.9923187928732,14.3211530016821,14.7295145341783,13.3716405346118,15.9384999113344,14.257977058564,17.8290661396339,17.1620273831732,16.6054505805314,15.2905948880826,15.4716117140931,16.8393391328454,16.0767112316556,17.1242223034108,16.5106096558058
"RP_pos_467_34976a10_137",18.4168181402149,17.0734616935627,19.5339608341719,18.268318115197,17.7926314488176,17.1253125622543,19.7379982211144,20.9435836566001,20.1835348300796,19.496048198588,18.568639007992,18.8086311566009,17.3708831897949,20.2797046545707,19.8667597434081
"RP_pos_467_34982a9_487",17.9882297791783,16.9541054119185,17.6837896458176,16.7342994648563,17.8640954412531,17.6756607584113,17.4043266583152,18.2423926096842,18.0246581365225,18.1101519200738,17.8613595670428,18.4845987142022,17.864603306866,18.4419877306997,18.1241920066787
"RP_pos_467_34995a9_747",21.137704135381,19.6943459835234,20.0747778024256,18.9140463767447,20.04347458432,19.5132630334315,20.6040011530408,21.4386959276766,21.0622648997973,21.0059691907022,20.0948908182946,21.4980077214061,20.0700344430894,21.8070671418133,21.3580034849037
"RP_pos_468_21304a4_98",15.739569674026,14.0457596613827,15.0362594847026,13.8409745698219,15.8797028949169,14.8245610299703,15.0992245119166,16.0072901246957,14.9329990134217,15.5971214287896,15.1106464275778,16.0627629210326,14.820677595483,16.3550757466691,15.3876134895574
"RP_pos_468_24994a4_394",13.6787101635068,12.2134080408583,13.3474829606397,11.3944626946103,13.9844184588011,11.8458820343841,12.5432735384498,12.5171772526895,12.7300455028792,13.1212097164093,12.1421070573025,13.3789721457421,10.9578275608337,13.8933963420879,13.1405102723682
"RP_pos_468_30704a6_258",17.2211622702097,13.7369303716893,17.7385013382747,16.3791075655611,15.3273070282017,13.4596877562395,14.5604522576669,14.281060671677,12.9366379390026,15.2976686089144,17.1575739177383,17.844773180784,13.4857035452846,16.9233623080319,16.3964208204848
"RP_pos_468_3085a9_586",17.8479076256875,20.74883980723,17.4091837327477,20.8524167334888,16.0975795243767,20.1721808721931,20.150917405715,17.0610863554791,19.9804924524153,18.6597032890201,22.1449230061851,18.6038726066601,22.1939680496461,15.4385319777616,20.4697878645971
"RP_pos_468_35815a10_742",20.5863926872488,18.0297725017796,21.0613547105596,18.31629479175,20.7831469254486,19.2379078129595,20.2725511952454,20.4782047714004,18.7006225902555,20.782268796256,19.3786017922627,20.5441475404457,18.8807732788122,21.2359026218986,19.765077240444
"RP_pos_468_40445a11_709",17.7412826349385,13.8935859458523,18.6097162139383,15.2511495108695,16.3118724597579,13.5936245497061,15.5538392517185,17.8211199880282,14.9844629637613,17.9713695381251,16.4149164184118,18.7379503746094,16.2525730437953,16.2657798453495,13.6591039634737
"RP_pos_469_10577a1_569",7.78135971352466,15.3152911070237,8.67595703294175,16.0361092050872,12.5786085607378,15.4187749963319,16.4548936530463,8.37937836707126,15.8014810256112,9.45532722030456,16.1406101232207,10.0953970227926,16.3237233018893,7.88874324889826,15.1715677613248
"RP_pos_469_29272a14_256",22.5704111754802,11.0920964149908,23.2957685141096,8.83920378809694,21.51654501603,9.46352437327118,9.2045711442492,20.8576651766937,9.56414948998573,22.640832071537,13.9061389961954,22.8426006744786,11.6501542136751,21.6103053134694,9.80896417491926
"RP_pos_469_29288a13_619",19.7174923531221,17.4992853389997,11.6220518194564,18.1885502126108,9.38154295118458,17.6931397999097,16.3342209014514,11.2312211807112,16.8253811879008,12.3412408205387,21.7299044833768,11.5957236941016,20.4327661622715,12.6759570329417,17.7818463360943
