"","C001H","C002H","C003H","C004H","C005H","C006H","C007H","C008H","C009H"
"ABCG1",334,216,115,95,193,87,339,532,517
"TFF3",33084,91299,133274,73559,35753,37973,47077,79231,174626
"TFF2",67,206,104,34,18,0,89,177,222
"TFF1",1007,115,1376,17,145,25,3173,4868,54
"TMPRSS3",0,11,1,16,0,0,0,0,13
"UBASH3A",19,10,35,14,35,2,19,14,36
"LOC110256494",24,4,3,0,0,32,4,0,0
"RSPH1",0,0,0,25,0,0,0,0,0
"SLC37A1",439,452,446,263,280,237,467,738,1273
"PDE9A",1509,1337,2357,2436,1257,1089,1806,3941,3024
"LOC110256496",9,0,18,0,0,0,7,0,0
"WDR4",88,53,78,13,65,54,86,68,142
"LOC106505505",0,0,0,0,0,6,0,0,0
"NDUFV3",830,836,889,534,936,543,820,1314,1576
"LOC110256373",0,0,1,0,0,0,0,0,0
"PKNOX1",204,171,161,211,36,118,135,228,243
"CBS",24,5,9,4,0,1,17,28,62
"U2AF1",1000,1079,1047,476,853,684,1145,1337,1415
"LOC110256285",0,0,0,0,11,0,0,0,0
"CRYAA",0,0,0,0,0,0,0,0,0
"LOC110256500",0,0,0,0,0,0,0,14,0
"SIK1",105,203,56,54,72,87,151,159,577
"HSF2BP",126,141,223,132,164,218,174,171,223
"RRP1B",169,121,203,99,96,39,184,317,281
"PDXK",2010,1404,1242,1280,1434,1163,1540,2443,3590
"CSTB",4407,3732,4716,4497,2382,3347,4625,7656,7657
"RRP1",286,303,317,354,151,114,286,408,554
"AGPAT3",163,85,151,173,64,152,113,170,263
"TRAPPC10",1023,1162,1003,926,477,301,792,1434,1325
"PWP2",38,49,76,11,0,0,62,54,95
"LOC102157424",47,2,39,19,57,11,15,52,32
"C13H21orf33",620,440,512,359,483,239,414,809,1009
"ICOSLG",179,238,414,219,50,132,303,282,461
"DNMT3L",9,8,0,0,0,17,5,3,10
"AIRE",6,20,17,16,0,0,7,7,0
"PFKL",1064,801,1716,803,639,288,748,2227,1666
"C13H21orf2",258,366,227,176,137,72,224,508,427
"LOC102158266",0,0,0,0,0,0,0,0,8
"TRPM2",38,15,18,8,24,0,18,58,63
"LOC110256556",0,2,0,0,0,0,2,0,0
"LRRC3",50,3,22,39,42,0,12,32,29
"TSPEAR",0,0,5,9,10,22,12,0,0
"LOC100622629",0,0,0,0,0,0,0,0,0
"LOC106508042",0,0,0,0,0,0,0,0,0
"LOC110256557",0,0,0,0,0,0,0,0,0
"LOC100622426",0,0,0,0,0,0,0,0,0
"LOC100622533",0,0,0,0,0,0,0,0,0
"LOC100623198",0,0,0,0,0,0,0,0,0
"LOC100623294",0,0,0,0,0,0,0,0,0
"LOC100623393",0,0,0,0,0,0,0,0,0
"LOC100623490",0,0,0,11,0,0,0,0,0
"LOC102160031",0,0,0,0,0,0,0,0,0
"LOC106508044",0,0,0,0,0,0,0,0,0
"LOC100623597",0,0,0,11,0,0,0,0,0
"LOC100622826",0,0,0,0,0,0,0,0,0
"UBE2G2",676,637,563,359,554,256,511,810,1091
"SUMO3",1291,1296,1203,1473,578,875,1145,2126,2823
"PTTG1IP",4616,4716,6324,7729,2887,3417,4778,11226,11212
"ITGB2",316,287,775,538,228,283,482,458,450
"FAM207A",229,263,243,143,251,74,247,448,560
"LOC110256558",0,0,4,10,0,0,0,17,13
"ADARB1",29,46,41,30,88,27,62,39,86
"POFUT2",389,590,579,549,373,305,318,749,1320
"COL18A1",984,1253,1985,1368,1158,1323,1478,3089,2889
"SLC19A1",1175,1013,1841,1774,758,499,1094,2651,2616
"PCBP3",0,0,19,0,0,0,2,0,12
"LOC106508047",0,0,0,0,0,0,2,0,0
"LOC100623720",1936,2594,3843,3427,2149,2074,2896,4418,4981
"CDK20",60,25,13,1,0,5,40,81,95
"LOC106505872",0,0,0,0,0,0,0,0,0
"LOC106505875",0,0,0,0,0,0,0,0,0
"LOC110256681",0,0,3,0,0,0,0,0,0
"SPIN1",151,92,103,122,145,77,154,109,146
"LOC106505876",0,0,0,0,0,0,0,0,0
"NXNL2",19,0,9,15,0,0,5,0,4
"S1PR3",50,92,99,37,35,74,49,84,102
"SHC3",0,0,45,12,42,67,0,4,0
"LOC110256887",0,7,8,0,0,24,2,26,0
"CKS2",1102,927,981,1132,845,906,1046,866,2250
"LOC102165122",15,16,17,0,0,25,8,17,19
"SECISBP2",892,1142,733,684,910,528,771,1321,1449
"SEMA4D",86,90,139,242,63,188,166,234,268
"GADD45G",100,88,106,74,256,31,141,194,183
"LOC110256773",0,0,0,0,0,0,0,0,0
"LOC110256747",0,0,0,0,0,0,0,0,0
"LOC106505879",0,0,8,0,0,21,2,0,0
"LOC110256643",0,6,0,0,0,0,0,0,0
"LOC110256656",0,0,0,0,0,0,0,0,0
"DIRAS2",0,7,0,0,0,0,0,0,4
"SYK",54,68,233,50,30,112,51,47,80
"AUH",393,321,253,358,366,250,275,435,526
"NFIL3",289,210,402,226,561,222,546,422,547
"LOC106508056",0,0,0,0,0,0,0,0,0
"ROR2",67,113,110,86,25,59,49,57,108
"SPTLC1",2126,2671,2718,2190,2029,2900,2718,2927,4461
"GFRA2",18,6,43,0,74,11,22,62,23
"LOC102166958",0,0,3,0,0,0,1,0,0
"LOC100623270",19,8,3,41,0,23,5,0,15
"LOC100158108",267,422,409,340,161,313,427,379,515
"LPL",757,627,263,295,686,574,696,690,1267
"SLC18A1",14,34,46,65,14,44,46,110,21
"ATP6V1B2",683,616,397,222,363,358,582,686,1001
"LZTS1",20,13,22,0,58,141,12,32,49
"LOC110256784",0,0,6,0,11,0,0,0,23
"LOC102164739",0,0,0,0,0,0,0,0,0
"LOC102166756",0,4,7,0,0,0,0,0,0
"GFRA2_1",4,14,5,61,0,37,18,40,30
"DOK2",103,56,194,72,102,87,85,154,133
"XPO7",564,354,354,288,363,377,420,639,691
"NPM2",0,0,1,10,0,0,0,0,13
"FGF17",0,0,0,0,0,0,0,0,0
"DMTN",54,36,52,38,33,32,70,179,60
"LOC110256689",0,0,0,0,0,0,0,0,0
"LOC110256690",0,0,5,17,0,0,0,0,0
"FAM160B2",868,492,491,1650,272,223,422,1722,2177
"NUDT18",150,118,305,147,131,159,126,256,320
"HR",55,22,64,71,88,55,88,161,115
"REEP4",273,401,180,275,256,123,265,576,911
"LGI3",16,36,20,64,0,45,15,21,19
"SFTPC",15,0,7,0,0,0,0,0,0
"BMP1",650,1251,2104,2000,1221,1091,1484,1382,3077
"LOC110256603",136,195,246,150,35,119,131,165,285
"PHYHIP",0,0,0,16,0,28,0,0,0
"MIR320",0,5,0,0,0,0,0,0,0
"POLR3D",222,281,497,352,230,271,403,279,419
"PIWIL2",0,0,49,5,12,4,9,2,0
"SLC39A14",839,634,1229,1262,793,412,838,1239,1564
"PPP3CC",718,871,880,543,846,425,1203,1071,1710
"SORBS3",607,760,625,529,500,360,680,838,1423
"PDLIM2",1213,893,1096,1466,755,808,1328,2745,4150
"CCAR2",1180,865,693,704,684,475,750,1559,1916
"BIN3",239,174,299,278,196,154,214,349,488
"EGR3",31,12,73,59,0,21,40,56,69
"PEBP4",2,5,7,50,1,49,38,9,12
"LOC110256619",6,3,5,0,23,0,5,0,0
"RHOBTB2",331,236,198,263,24,219,141,549,515
"LOC100624226",818,569,1187,771,770,621,1280,1452,1169
"LOC106505885",0,6,3,3,0,0,8,16,0
"LOC100737977",299,165,243,207,250,167,520,492,380
"CHMP7",668,353,527,410,377,362,581,619,817
"R3HCC1",12,31,64,54,20,22,42,31,38
"LOXL2",110,68,86,127,99,111,116,169,348
"ENTPD4",370,220,275,191,190,202,291,291,318
"SLC25A37",456,366,244,297,230,198,414,432,660
"NKX3-1",53,3,57,31,41,34,36,28,132
"NKX2-6",0,0,0,0,0,0,0,0,0
"STC1",1,0,4,0,0,0,2,0,0
"ADAM28",35,33,77,76,66,49,69,97,207
"ADAMDEC1",3275,6147,7748,5925,4625,10892,5124,6907,11071
"ADAM7",9,5,0,0,0,23,16,0,0
"LOC110256883",0,0,0,0,0,0,0,0,0
"NEFM",98,114,88,181,54,125,135,255,180
"NEFL",83,85,64,65,107,104,128,126,329
"LOC100521685",0,0,0,0,0,0,0,0,0
"DOCK5",834,372,690,716,400,260,701,1019,1760
"LOC110256828",0,0,1,0,0,0,2,0,7
"GNRH1",0,0,0,7,0,0,2,0,8
"KCTD9",592,542,388,354,432,501,490,492,821
"CDCA2",47,58,71,11,64,12,39,34,63
"EBF2",13,8,19,18,38,18,11,7,0
"LOC106505895",0,0,0,17,0,0,0,0,0
"PPP2R2A",1136,973,1021,1001,921,1000,1192,1343,2173
"BNIP3L",2055,1986,1793,2078,1507,2448,1390,3156,2751
"PNMA2",8,5,5,0,0,0,3,18,12
"DPYSL2",284,422,327,285,230,298,291,418,664
"ADRA1A",31,5,65,49,20,101,29,33,25
"MIR9854",0,0,0,0,0,0,0,0,0
"STMN4",12,35,15,8,0,60,9,19,8
"TRIM35",123,71,54,9,15,51,91,186,150
"LOC110256728",9,34,20,0,0,36,11,47,23
"PTK2B",598,449,940,891,517,305,786,1173,1284
"CHRNA2",34,6,10,0,0,20,4,0,0
"EPHX2",694,374,460,209,325,283,893,931,1439
"GULO",0,0,0,0,0,7,1,0,0
"CLU",624,1064,3154,1235,774,871,718,1231,1560
"LOC106508065",0,0,0,16,0,0,0,0,0
"SCARA3",55,51,60,34,37,63,56,71,144
"CCDC25",684,582,548,322,282,398,503,472,846
"ESCO2",104,118,112,101,129,76,86,144,199
"PBK",270,315,323,141,210,414,212,253,342
"SCARA5",411,646,694,615,526,679,436,485,739
"LOC110256888",0,3,0,0,0,0,0,0,0
"NUGGC",10,32,255,11,0,0,10,0,17
"ELP3",81,113,208,114,144,108,111,184,191
"PNOC",0,4,0,0,0,24,0,0,0
"ZNF395",130,137,266,96,81,152,84,146,157
"LOC100153492",0,0,3,21,0,29,0,0,0
"FBXO16",8,21,21,0,0,0,12,20,9
"FZD3",82,26,79,12,46,107,57,33,36
"EXTL3",83,60,119,66,185,110,104,166,62
"INTS9",68,84,96,39,66,60,72,95,146
"HMBOX1",230,281,303,214,231,114,354,318,441
"LOC110256610",0,0,0,0,0,0,4,0,14
"KIF13B",308,176,150,101,188,78,337,505,343
"MIR124A-2",0,0,0,0,0,0,0,0,0
"LOC110256811",0,0,0,0,0,0,0,0,0
"LOC106505903",0,0,1,0,0,0,0,0,0
"MSRA",356,489,740,204,413,279,318,453,616
"LOC110256635",0,0,9,0,0,0,0,0,0
"PRSS55",0,4,29,10,0,31,5,0,21
"RP1L1",0,3,2,0,0,0,0,0,0
"C14H8orf74",0,0,10,0,0,9,2,5,9
"SOX7",6,30,44,41,38,36,45,91,52
"PINX1",53,96,118,138,11,133,110,109,194
"XKR6",13,7,24,25,20,7,15,47,20
"LOC110256702",48,107,114,44,20,56,62,13,67
"MTMR9",190,158,201,110,168,184,220,188,340
"TDH",0,0,12,0,0,10,4,0,0
"FAM167A",0,12,44,0,97,97,0,0,74
"LOC102162443",0,7,2,0,0,34,2,0,0
"BLK",13,28,162,26,0,23,20,40,5
"TRNAD-GUC_20",0,0,0,0,0,0,0,0,0
"LOC102167906",0,20,0,0,0,0,0,0,0
"GATA4",11,0,0,0,0,0,0,0,0
"NEIL2",114,85,75,43,97,127,53,59,136
"FDFT1",761,813,1669,1064,953,449,761,1515,1953
"CTSB",6956,5017,9397,11537,5208,6812,9124,25464,21621
"LOC102158040",0,0,0,0,0,0,0,0,0
"LOC106508068",0,0,0,0,0,0,0,0,0
"DEFB136",0,0,1,25,0,0,0,0,0
"GLRA3",5,12,39,2,1,50,0,0,18
"DEFB135",0,0,0,0,0,0,0,0,0
"DEFB134",0,0,0,0,0,0,0,0,0
"ADAM29",0,0,0,0,0,13,0,0,0
"LOC110256873",0,0,0,0,0,0,0,0,0
"HPGD",29835,22591,29945,24285,18939,21659,25719,34085,36188
"CEP44",570,406,350,246,207,394,428,319,433
"FBXO8",1063,1037,745,627,660,887,1022,1629,1271
"LOC102163133",0,0,0,0,0,0,0,0,0
"LOC100517194",17,23,9,16,36,16,10,0,10
"HAND2",73,124,45,14,43,55,92,86,125
"SCRG1",0,25,23,0,24,15,16,9,0
"SAP30",240,363,359,241,241,159,321,308,284
"LOC106507243",2,29,72,2,55,83,4,26,26
"HMGB2",2810,2801,3348,1148,2021,1249,2180,2408,2556
"GALNT7",1643,1544,1915,1413,1561,1670,1615,3243,2541
"GALNTL6",5,0,7,0,0,23,1,3,0
"LOC110256613",11,0,15,34,0,33,3,0,0
"LOC110256616",0,0,2,5,0,0,2,0,0
"LOC110256614",0,15,0,7,0,0,2,0,5
"LOC110256615",4,0,1,0,0,0,0,0,0
"LOC110256617",0,0,0,0,0,0,0,0,0
"LOC110256654",0,0,10,0,0,0,0,0,0
"LOC110256736",0,0,0,0,0,0,0,0,0
"LOC110256746",0,3,4,0,0,0,0,0,0
"AADAT",0,0,0,0,0,0,0,7,0
"MFAP3L",0,0,16,0,0,0,0,0,0
"LOC102166040",8,0,0,0,0,0,8,0,0
"LOC102165957",0,0,0,0,0,0,0,0,0
"LOC100158040",1246,1403,1700,833,1568,1745,1164,1444,1976
"CLCN3",852,705,738,545,455,387,677,1155,1660
"NEK1",151,203,189,167,85,145,162,174,323
"TRNAE-UUC_36",0,0,0,0,0,0,0,0,0
"SH3RF1",710,1118,1066,1437,925,756,889,1136,1070
"CBR4",170,151,218,40,231,227,124,183,231
"PALLD",1609,1539,1496,1185,1348,1090,1234,1895,2708
"LOC110256756",0,0,1,35,17,0,0,0,0
"DDX60",2653,2124,3842,6248,1403,2561,3734,4327,5943
"ANXA10",0,0,0,0,0,0,0,0,0
"LOC110256686",0,0,14,29,0,0,0,0,0
"LOC110256769",0,0,6,0,0,0,0,0,0
"SPOCK3",85,122,82,19,143,13,85,32,211
"LOC102167963",0,0,0,0,0,0,0,0,0
"LOC100154415",118,127,56,81,64,56,49,118,92
"LOC100153205",0,1,0,0,0,0,0,0,0
"LOC100157664",0,0,0,0,0,0,0,0,0
"LOC102158190",24,8,20,26,0,32,6,3,0
"ZNF10",33,28,55,10,23,36,19,46,55
"ZNF891",30,56,25,16,49,9,55,20,15
"ZNF140",109,115,102,52,164,159,121,178,86
"ZNF84",146,176,212,124,133,128,194,239,279
"ZNF605",174,216,92,94,45,93,138,161,248
"CHFR",1829,1496,1294,1722,908,1014,1384,3138,2778
"GOLGA3",294,244,171,222,153,163,223,353,434
"ANKLE2",336,366,340,207,191,405,324,412,484
