"","C001H","C002H","C003H","C004H","C005H","C006H","C007H","C008H","C009H"
"TRNAD-GUC_22",0,0,2,0,0,0,0,0,0
"TRNAA-UGC_5",0,0,0,0,0,0,2,0,0
"UBC",2745,1654,2621,3806,2331,2744,5369,5400,2834
"SCARB1",105,98,134,102,87,73,74,123,309
"NCOR2",801,492,1093,881,363,254,909,1518,1669
"RFLNA",118,94,77,181,102,105,144,116,314
"LOC110256597",2,0,0,0,0,0,3,0,0
"ZNF664",2702,2461,2378,2518,1670,2661,2337,3811,4121
"CCDC92",31,50,63,31,14,25,17,34,66
"DNAH10",8,37,11,33,18,20,13,13,15
"ATP6V0A2",613,668,725,296,441,643,533,743,950
"SUMO4",0,0,0,0,0,0,0,0,0
"TCTN2",104,104,111,139,86,85,84,84,167
"GTF2H3",240,294,312,119,195,193,269,245,427
"EIF2B1",425,341,505,237,375,259,371,443,732
"DDX55",99,121,109,26,50,67,122,139,129
"TMED2",6055,5241,4561,2985,5444,7793,5588,5485,10692
"LOC102160998",0,0,4,0,0,0,0,0,0
"RILPL1",59,54,66,41,119,89,89,90,118
"SNRNP35",201,261,285,220,199,91,199,296,339
"RILPL2",155,147,243,107,91,132,163,274,265
"KMT5A",381,306,305,278,257,268,364,499,739
"SBNO1",509,675,838,458,733,354,591,711,902
"CDK2AP1",614,523,495,232,394,400,432,335,994
"C14H12orf65",91,72,56,0,65,0,49,76,83
"MPHOSPH9",79,64,91,17,141,70,103,62,120
"PITPNM2",208,223,242,218,213,93,194,375,531
"ARL6IP4",453,493,570,442,395,379,385,808,922
"OGFOD2",170,168,244,62,57,33,156,243,314
"ABCB9",783,174,212,205,209,123,286,684,1003
"LOC106505925",13,0,0,4,25,0,10,15,8
"VPS37B",3028,3200,3800,5600,3239,1990,4357,6476,5277
"HIP1R",750,505,430,311,273,202,462,672,700
"CCDC62",80,113,113,16,65,103,102,115,171
"DENR",480,511,642,534,505,705,635,477,737
"HCAR1",0,0,0,0,0,0,0,0,0
"HCAR2",30,16,20,11,174,0,213,5,36
"KNTC1",37,31,73,57,27,48,44,19,107
"RSRC2",1452,1197,1651,1168,1275,1167,1716,1609,1775
"ZCCHC8",285,353,356,241,309,284,430,379,533
"CLIP1",488,550,431,463,372,597,698,676,585
"VPS33A",292,222,396,383,220,239,238,288,484
"DIABLO",1231,1324,1651,855,988,1210,1005,1409,2467
"LRRC43",0,0,0,0,0,0,0,13,0
"B3GNT4",0,0,3,0,0,0,0,0,0
"IL31",0,0,0,0,0,0,18,0,1
"LOC106505536",171,119,47,134,29,115,88,215,156
"MLXIP",1260,553,504,685,403,613,834,1784,1931
"BCL7A",72,41,76,58,16,6,35,78,84
"WDR66",0,0,0,0,0,0,7,10,0
"PSMD9",372,497,720,431,334,438,487,483,785
"HPD",0,0,2,0,0,0,0,0,0
"SETD1B",760,386,456,365,409,233,568,926,840
"RHOF",666,430,767,1172,311,707,405,963,965
"LOC110256740",35,6,0,14,15,0,20,22,37
"TMEM120B",212,103,115,151,65,108,151,232,254
"MORN3",0,6,2,0,0,0,0,0,0
"LOC106505926",20,0,12,0,13,4,18,20,43
"ORAI1",212,150,177,40,239,77,184,258,322
"KDM2B",169,220,385,235,297,281,263,351,387
"RNF34",220,188,163,71,45,117,214,308,259
"LOC106505927",0,3,0,0,0,0,0,0,0
"ANAPC5",54,126,120,53,68,36,89,108,70
"CAMKK2",153,162,243,68,191,131,173,110,509
"P2RX4",396,476,1055,310,290,324,454,440,1207
"P2RX7",15,28,60,47,165,19,63,98,55
"IFT81",66,105,140,81,78,129,84,77,95
"LOC110256668",0,2,7,30,0,7,0,16,7
"ATP2A2",1356,981,1281,899,1457,730,1581,1496,2695
"ANAPC7",578,411,598,379,450,417,608,579,821
"ARPC3",25830,28566,33144,22824,30911,27835,28108,24742,48490
"GPN3",468,491,709,308,258,354,388,372,577
"FAM216A",48,136,125,38,69,95,108,79,222
"VPS29",2083,2225,1940,1167,1905,1972,2135,2107,3407
"RAD9B",5,21,7,5,15,46,4,35,18
"PPTC7",1612,1410,1614,954,1700,1245,1273,1757,2442
"TCTN1",23,40,31,15,20,38,20,36,20
