"","C001F","C002F","C004F","C005F","C006F","C007F","C008F","C009F","C013F","C014F","C015F"
"MAG045",15.4892619161947,16.747416365206,18.7432506490244,14.7369451454006,16.2514305952272,14.9761688820893,14.4670009308224,14.1395704576074,15.747049473917,14.3668427489376,17.3934411521911
"MAG046",16.4157186355741,14.3097636286859,15.6155358513631,19.6911405756948,17.3827844955727,16.4028928216518,16.4854575441629,14.0216128449624,14.2884761523403,16.6950033262561,16.7860463547958
"MAG047",16.3761336924802,14.3144595423641,13.641030673308,19.4152214367556,13.1588768088978,14.6827961150377,14.5999519787023,17.8486087429258,16.9367053318335,14.2861220993259,15.5555065010076
"MAG048",23.8668963988406,15.9577860642567,21.4346748956775,21.1654767969856,17.077690627468,16.4931743181063,20.2710064635937,16.9596733052011,18.3172404556353,23.2898484109622,16.9468684986527
"MAG049",15.2564317608431,14.0953578336276,15.6563736996078,18.9731196541523,16.4177024934491,14.5559301946264,14.4905134303285,15.9598574908088,15.3468566278285,16.7025219969525,15.3446330510968
"MAG050",16.9494752850574,17.065122625743,14.9045634550977,19.1605388675914,14.9581616427283,17.1085369322165,15.5426009156445,15.0921871153098,16.0884691022062,16.1245049889944,15.4512694569206
"MAG051",13.5135359767609,12.7458926524139,18.7557031814883,19.6314320449532,12.6978757544988,17.6610205490689,12.7379121830542,15.4469270378376,13.9298877469448,12.369005965755,19.8771768969522
"MAG052",13.6415363380126,11.7488126440463,13.9102601265491,17.8988337647408,14.4846100293196,14.5532758657823,13.1509789135329,21.5570855072339,11.9525908395332,12.7135889845232,15.0237829923852
"MAG053",15.7202499278103,15.3701200462395,15.3724026628851,18.6519017012542,16.5161414484107,14.2205469678165,14.7192277653765,18.0576254986644,18.2863647895466,14.9211467882052,14.9652213711337
"MAG054",16.1555622108402,16.0449033766826,16.5707498259193,18.8805178453025,14.8244833518815,16.0043479139166,15.8356150804903,16.0849455756307,16.5151020572489,15.9796852220914,15.8500697987834
"MAG055",14.293660102126,13.12218372108,13.3377039821991,19.6880073028589,12.8218672706815,14.1940604950624,14.1475953657973,14.7664427299705,14.1599680909042,18.3799044625667,15.7844819733671
"MAG056",11.6282047360071,12.6510066361764,13.3016819158717,17.1633459239896,13.4448584793998,12.2324603937338,13.1959193523617,10.5542279426576,11.4100417768849,12.2237152294051,9.67626080198995
"MAG057",11.501656968073,10.9498221110718,12.2131777764088,16.5133820656437,1.74295232514668,11.297529542639,-2.74468209810787,4.83347288439029,9.94337221424841,8.44811383884592,-7.47387459460379
"MAG058",16.4702784991352,13.4570746067375,19.0316633904921,19.2859769229906,19.9057541703334,17.6582845130852,18.6152173296496,20.045329977162,19.5912814932649,13.9115429164704,13.4907917287443
"MAG059",19.0508876580051,20.1889526148872,15.2402483840202,16.8356420154133,18.6992997895271,17.9106955266944,10.535775909865,7.14703507053756,21.5923632767386,11.4546296801687,18.356717703899
"MAG060",19.8088444741647,19.9113255249925,17.888814753153,20.683734095952,20.0817279113467,12.497281828987,17.8465163179674,13.7084932159571,20.1312268755085,17.6531057915243,16.7930272203827
