"","C001H","C002H","C004H","C005H","C006H","C007H","C008H","C009H"
"LOC110255798",6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.7719967298657,6.27684859056292
"PDX1",6.81862387985737,6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.82977185956765,6.27684859056292
"LOC106505240",7.08769865827205,7.00528242727482,6.27684859056292,6.27684859056292,7.0611457015446,6.6791805244635,6.95933780926465,7.03612855635512
"CDX2",11.9218553251966,11.7526002667357,12.3160268772229,11.7506647063006,11.555158821626,12.2150746956677,13.0875709241588,12.5997714634889
"URAD",8.52382373891003,8.98189601913375,8.75840257426409,8.09279897580516,8.16374291793796,8.39442836614028,9.42674205941853,9.30111052296147
"FLT3",7.00395835006542,7.07316386440008,7.3721926878691,7.18729897036089,7.3284794831573,6.84401797745769,6.92950792952349,7.18945141588148
"LOC100515792",8.5763966380483,8.75109088956714,8.71744608012281,9.05449245282857,8.60297075405095,8.36196251989954,8.36176485287199,8.48907139634208
"PAN3",9.19819183705988,9.43367036560013,9.32801231250584,8.97751076118728,9.26758160427796,9.2875908470527,9.1596821197718,9.31892709163779
"FLT1",6.94825287360355,7.28429601824988,6.77605758892204,7.32743707848266,7.6606762482396,7.13604995716406,7.62705473555005,6.89080165540256
"LOC110255799",7.14838765821959,6.7107509165899,6.27684859056292,6.27684859056292,7.59315312262639,7.02361936662545,6.59737671156266,6.4953465539985
"POMP",13.1510213329777,13.3315533840746,12.8805441302937,13.3234364205013,13.5285114333691,12.7772204079079,12.6602354177685,12.7548779906738
"SLC46A3",11.3849913529036,11.217127004114,11.3127991068762,9.96909625521936,10.8476663497763,10.9505247524503,11.6337915831349,11.3429624458613
"MTUS2",7.38760364871928,7.29662408383165,7.04105913059169,6.27684859056292,7.28146539904586,6.98790685720869,6.92950792952349,7.38578087733853
"SLC7A1",7.91805324818233,7.68361171668394,6.979401618132,7.97430139176004,7.53334009480677,7.76461293785871,7.31928244286752,8.00937453598284
"UBL3",10.0424829623451,10.3424137846727,9.9504331687305,10.2894179346982,10.4640550848661,9.94628321102722,9.88655991438201,10.252562605757
"LOC106505246",6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.9703852510399,6.27684859056292,6.27684859056292,6.27684859056292
"LOC106505250",6.27684859056292,6.27684859056292,7.1331969758882,7.42293369784706,7.19690486046543,6.79514983265965,6.65579278788703,6.5587492388406
"LOC110255800",6.60476810520808,6.27684859056292,6.86114618710157,6.27684859056292,7.3585030625647,6.60570435565921,6.27684859056292,6.63308963987751
"KATNAL1",7.51158049934466,7.92748984865772,8.07651794209173,7.38320423239364,7.6606762482396,7.64278170050777,7.38074068088181,7.39228518313468
"LOC102166871",6.81862387985737,6.6439554727287,6.27684859056292,6.27684859056292,6.60031598697278,6.95014394402153,6.27684859056292,6.27684859056292
"LOC102166670",6.5089717119091,6.76832402398366,7.04105913059169,6.27684859056292,6.99424550799871,6.44154324124434,6.27684859056292,6.90326846269446
"HMGB1",12.4198870513035,12.5799180161644,11.7826848477545,12.7107442241056,12.5446224793206,12.3218606942085,11.7397834984514,12.1035144333381
"USPL1",7.42012651321057,7.79355403735933,7.1331969758882,7.54469842362023,7.70343373748574,7.7094436719992,7.71606413616467,8.0595157789599
"LOC110255801",6.27684859056292,6.98720629652068,6.93482223695852,6.27684859056292,6.27684859056292,6.76881375466564,6.27684859056292,6.4953465539985
"ALOX5AP",7.58638588527243,7.89371840494236,7.24611972333149,8.16142129545714,8.25258237175915,8.12522066797511,7.82638243433556,7.67252144861323
"LOC106505256",6.27684859056292,6.94947923729022,7.48305990590313,7.078336366352,6.27684859056292,6.71118419213554,6.65579278788703,7.28220830617271
"MEDAG",7.63053140910656,7.85185574809662,8.02063340845079,7.4977755679401,7.8777480671585,7.73342553472587,7.38919420538852,8.4587052180537
"TEX26",6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.60570435565921,6.27684859056292,6.27684859056292
"LOC102159067",6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.44154324124434,6.27684859056292,6.27684859056292
"HSPH1",10.3080951804107,10.0704476786178,10.8406210309008,10.6214466631369,10.6149011480709,10.8150881268999,9.59281171415454,10.7726905608698
"B3GLCT",7.88413233323837,8.07744956760334,7.6735680907971,8.13442735929931,8.37816928014662,7.81718467971457,7.60019786409926,8.06651266813629
"RXFP2",6.56098748617825,6.27684859056292,6.27684859056292,6.27684859056292,6.86458164981939,6.27684859056292,6.70618119312519,6.71260398604674
"LOC110255743",8.81210751385677,8.63438764572873,8.6535772861338,7.35574579906791,8.05267321988211,8.01259226500064,8.5873672276283,7.50237215875521
"FRY",10.4840944937905,9.12203440544089,10.1773125871394,9.54325318704124,8.12050850338121,9.44449631113437,10.5625763950465,8.96764892830547
"LOC106507937",7.80580861402933,7.1201731792161,7.90827592290118,7.62196656316111,7.28146539904586,7.05756424196359,7.35490687888021,7.13879871598785
"ZAR1L",6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.61018685156833
"BRCA2",7.23142836438712,7.74776509710879,6.86114618710157,7.54469842362023,7.74457942561259,7.51491888272083,7.07902301591299,7.41786130080748
"N4BP2L1",8.17582996971712,8.54373773741836,8.34566414615877,8.48913811966176,8.32940042881065,7.9938126996756,8.12299957541856,8.00937453598284
"N4BP2L2",9.43789255882039,9.57172129123565,8.9777595298662,9.23307770417935,9.2456884690805,9.20201121679011,9.22526935831831,9.19065506691782
"PDS5B",9.31855747546866,9.81460806874788,9.79428320378333,9.25681766584206,10.1730920049396,9.53086948188694,9.25140399165478,9.29142223044972
"KL",6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.60031598697278,6.27684859056292,6.27684859056292,6.27684859056292
"LOC102159614",6.84241677605424,6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.44154324124434,6.27684859056292,6.27684859056292
"STARD13",7.89781917938772,8.07744956760334,7.76630589541349,6.99552164988733,7.8504921159152,7.71749591396452,7.75209229018473,8.05600220699886
"LOC110255744",6.27684859056292,6.60537525377815,6.27684859056292,6.27684859056292,6.27684859056292,6.50963587665342,6.27684859056292,6.27684859056292
"LOC106507939",6.64327774594397,6.67877874879634,6.27684859056292,7.17016751738127,7.23175780717462,6.27684859056292,6.27684859056292,6.27684859056292
"RFC3",8.72271278030531,8.76153096054095,8.35663990887988,9.10790277255786,8.79521937230314,8.59373401911972,8.3969736000006,8.3154085174809
"LOC102159559",6.27684859056292,6.6439554727287,6.27684859056292,6.27684859056292,6.99424550799871,6.60570435565921,6.27684859056292,6.27684859056292
"NBEA",7.82770602558173,8.33648318854759,8.11681464564529,8.39260741087636,8.57752060258158,7.87443591493703,7.90132282382076,7.71110338350675
"MAB21L1",6.73960934498195,6.86628078092394,6.74410408873565,6.27684859056292,6.89284968269877,6.56179960753869,6.42042886116157,7.14747073447287
"DCLK1",8.85791116073933,9.24930795509525,8.92523856769708,9.73379832488603,10.2070787004019,9.18424675478402,8.89492164971571,9.60392612546318
"LOC100624094",6.94825287360355,7.14996061074595,6.27684859056292,7.32743707848266,7.1416332569313,7.13604995716406,6.27684859056292,6.98404056860661
"SPG20",8.86433066435518,9.05932943324355,8.55870748558677,8.32402149036476,8.56201324679087,8.92677530949573,8.74052656246394,8.92851486072
"LOC110255803",6.44107284526383,6.56151413749582,6.27684859056292,6.27684859056292,6.83480109647063,6.50963587665342,6.27684859056292,6.27684859056292
"CCNA1",6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.60570435565921,6.27684859056292,6.27684859056292
"SERTM1",6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.50963587665342,6.75110868929371,6.74722321711533
"RFXAP",8.90533791165654,9.29006394906428,9.7274868590331,8.44711369826973,9.14437582458304,8.81794248498534,8.69139012122492,8.65572685678543
"LOC110255804",6.27684859056292,6.6439554727287,6.979401618132,6.27684859056292,6.27684859056292,6.44154324124434,6.27684859056292,6.71260398604674
