"","C001H","C002H","C004H","C005H","C006H","C007H","C008H","C009H"
"LOC106508906",0,0,29,0,12,2,0,29
"POU3F2",0,5,17,21,43,0,0,0
"FBXL4",93,71,145,83,152,127,169,217
"FAXC",63,56,29,40,100,65,73,122
"COQ3",772,606,800,655,694,496,649,1325
"PNISR",1074,1338,926,829,834,934,1099,1348
"USP45",564,362,189,200,165,214,511,443
"TSTD3",804,792,697,663,400,510,915,1183
"CCNC",2505,2142,3195,2028,2892,2663,4365,5114
"PRDM13",0,0,0,16,0,0,0,0
"SIM1",0,6,0,0,2,0,0,0
"ASCC3",340,224,195,186,376,260,303,658
"LOC110260404",0,0,0,0,0,1,0,0
"GRIK2",0,0,11,0,13,2,0,13
"LOC110260405",0,0,0,0,0,0,0,0
"HACE1",631,478,524,173,394,617,548,740
"BVES",26,11,0,69,80,14,18,16
"LOC106508909",0,0,0,0,0,1,0,0
"POPDC3",18,14,52,26,82,12,34,15
"PREP",270,137,194,254,213,231,284,621
"LOC110260407",0,0,0,0,0,0,0,0
"LOC110260408",1,0,9,0,4,0,0,0
"PRDM1",1010,494,1010,691,724,2588,1878,1385
"ATG5",1240,1023,673,1005,819,1303,1647,1775
"LOC110259431",3,0,0,0,8,7,8,4
"CRYBG1",701,390,695,490,275,421,707,1155
"RTN4IP1",349,269,214,368,330,283,353,428
"QRSL1",563,647,897,931,447,764,671,836
"LOC110260421",0,0,0,0,0,0,0,6
"LOC100519934",4875,4980,3744,3312,4592,4516,8277,14451
"LOC100521350",729,1058,1508,1037,502,894,834,1708
"C1H6orf203",569,459,250,418,292,378,317,694
"BEND3",31,10,68,18,70,53,69,33
"PDSS2",40,10,11,13,55,38,41,124
"LOC102159561",0,19,9,0,8,6,0,0
"LOC110260430",0,0,0,0,17,0,0,0
"SOBP",44,94,103,91,189,63,79,119
"LOC102159995",0,25,19,0,9,2,7,17
"SCML4",104,63,8,79,106,65,73,157
"SEC63",1069,1019,1051,1176,1205,1170,1053,1691
"OSTM1",1094,1059,975,1009,999,1472,1750,1722
"NR2E1",8,0,0,0,0,3,0,0
"SNX3",3217,3422,2125,3788,2852,3267,4147,6012
"AFG1L",102,110,97,128,81,150,151,359
"FOXO3",2358,2428,3101,1195,989,2573,5898,3337
"LOC106508914",46,50,26,16,7,9,45,12
"LOC106508915",9,11,6,0,0,10,6,7
"ARMC2",33,57,28,0,40,35,53,31
"LOC110260564",0,0,0,0,0,0,4,0
"SESN1",3598,3556,3076,1725,1957,2288,6415,3480
"LOC106508918",32,24,24,23,12,7,6,10
"CEP57L1",112,32,76,19,82,63,63,111
"C1H6orf183",34,21,25,37,29,27,0,79
"LOC110260563",9,0,0,0,2,0,0,0
"CD164",11879,10760,9213,8438,8504,12935,18134,18229
"LOC102164525",0,0,0,15,2,6,0,0
"PPIL6",0,6,0,0,6,0,0,0
"SMPD2",1142,1154,1179,631,881,1114,1722,2566
"MICAL1",601,740,547,600,336,648,1150,885
"ZBTB24",100,98,100,68,65,135,135,165
"AK9",0,0,0,0,7,0,0,0
"FIG4",136,149,112,125,238,115,196,412
"LOC102157516",0,8,14,0,0,0,1,0
"WASF1",4,6,0,0,7,8,6,0
"CDC40",385,426,221,344,619,429,568,824
"METTL24",88,61,35,139,47,36,37,48
"DDO",34,13,24,59,28,25,19,21
"SLC22A16",0,0,0,0,0,5,13,5
"CDK19",109,238,95,75,16,91,120,189
"AMD1",1129,825,375,602,702,824,1251,1674
"GTF3C6",460,561,664,472,550,689,584,932
"RPF2",194,98,110,166,183,157,161,121
"SLC16A10",31,62,26,35,64,32,31,56
"LOC110260579",18,10,0,0,23,1,0,0
"MFSD4B",54,67,33,18,48,27,58,21
"REV3L",176,250,52,206,179,150,153,374
"LOC102167874",30,57,54,16,32,37,95,127
"LOC110260596",32,44,88,32,102,25,11,20
"LOC106508920",23,16,0,0,0,2,13,13
"TRAF3IP2",547,668,1380,459,567,799,929,1419
"LOC106508921",0,21,7,0,10,9,0,40
